RDF,Out_Degree,In_Degree,Degree
Q1,3,5,8
Q2,17,17,34
Q3,1,5,6
Q4,15,21,36
Q5,24,6392,6416
Q15,25,121,146
Q16,147,674,821
Q17,114,387,501
Q18,31,54,85
Q20,99,58,157
Q21,43,170,213
Q22,40,57,97
Q23,48,18,66
Q25,35,25,60
Q26,25,19,44
Q27,96,170,266
Q28,86,43,129
Q29,105,201,306
Q30,258,10632,10890
Q31,110,93,203
Q32,86,30,116
Q33,163,33,196
Q34,110,96,206
Q35,92,60,152
Q36,111,70,181
Q37,70,17,87
Q38,153,409,562
Q39,101,145,246
Q40,98,122,220
Q41,95,75,170
Q42,32,4,36
Q43,88,49,137
Q45,82,34,116
Q46,20,363,383
Q48,29,189,218
Q49,45,167,212
Q51,23,11,34
Q55,113,146,259
Q59,8,0,8
Q60,45,1434,1479
Q61,35,261,296
Q62,25,200,225
Q64,58,108,166
Q65,43,1445,1488
Q66,23,1,24
Q68,9,7,16
Q70,29,6,35
Q71,21,27,48
Q72,25,15,40
Q76,60,7,67
Q77,47,16,63
Q78,22,12,34
Q79,69,46,115
Q81,5,1,6
Q84,47,734,781
Q85,23,9,32
Q86,9,9,18
Q87,28,4,32
Q88,18,14,32
Q89,14,3,17
Q90,50,227,277
Q91,42,12,54
Q94,20,4,24
Q95,16,5,21
Q96,95,160,255
Q97,14,16,30
Q98,11,12,23
Q99,84,382,466
Q100,30,108,138
Q108,14,0,14
Q110,11,0,11
Q111,9,3,12
Q114,41,21,62
Q115,53,10,63
Q116,7,18,25
Q117,42,11,53
Q119,13,1,14
Q120,14,1,15
Q121,17,1,18
Q122,17,1,18
Q123,12,1,13
Q124,14,1,15
Q125,13,1,14
Q126,16,2,18
Q140,0,5,5
Q142,171,624,795
Q143,16,6,22
Q144,13,6,19
Q145,129,2583,2712
Q146,12,5,17
Q148,157,346,503
Q150,61,547,608
Q155,108,80,188
Q159,106,121,227
Q161,0,28,28
Q163,10,8,18
Q165,7,10,17
Q172,27,150,177
Q173,37,25,62
Q175,0,17,17
Q176,31,18,49
Q178,3,1,4
Q180,8,0,8
Q183,152,580,732
Q184,54,22,76
Q188,25,412,437
Q189,69,22,91
Q191,71,17,88
Q198,14,49,63
Q206,24,3,27
Q207,50,10,60
Q211,61,19,80
Q212,90,59,149
Q213,74,79,153
Q214,66,14,80
Q215,61,22,83
Q216,20,2,22
Q217,48,15,63
Q218,80,39,119
Q219,79,26,105
Q220,41,105,146
Q221,55,12,67
Q222,63,23,86
Q223,27,9,36
Q224,65,28,93
Q225,54,19,73
Q227,59,22,81
Q228,39,16,55
Q229,61,175,236
Q230,65,14,79
Q231,13,7,20
Q232,60,16,76
Q233,58,27,85
Q235,41,28,69
Q236,51,15,66
Q237,37,18,55
Q238,33,8,41
Q239,21,16,37
Q240,1,5,6
Q241,46,30,76
Q242,45,7,52
Q244,49,10,59
Q248,24,3,27
Q252,76,41,117
Q254,57,4,61
Q255,46,5,51
Q256,11,21,32
Q258,75,83,158
Q261,59,7,66
Q262,63,14,77
Q265,50,17,67
Q269,21,2,23
Q270,33,17,50
Q276,8,1,9
Q279,19,1,20
Q283,25,10,35
Q287,0,13,13
Q288,12,3,15
