Title,Description,MDI,URL,Alias,RDF
Universe,"totality consisting of space, time, matter and energy",/m/07v7c,https://en.wikipedia.org/wiki/Universe,cosmos|space|metagalaxy|macrocosm|outer space|the universe|the cosmos|heaven and earth|our universe,Q1
Earth,third planet from the Sun in the Solar System,/m/02j71,https://en.wikipedia.org/wiki/Earth,Planet Earth|World|Gaia|Terra|Sol III,Q2
life,matter capable of extracting energy from the environment for replication,/m/04nr2,https://en.wikipedia.org/wiki/Life,biota,Q3
human,"any member of Homo sapiens, unique extant species of the genus Homo, from embryo to adult",/m/0dgw9r,https://en.wikipedia.org/wiki/Human,human being|people|humans|man|men|individual human|individual Homo sapien|nonfictional human|non-fictional human|person,Q5
carrot,common vegetable and taproot of the species Daucus carota subsp. sativus and its associated cultivars.,/m/0fj52s,https://en.wikipedia.org/wiki/Carrot,carrot taproot|domesticated carrot,Q81
Mars,fourth planet in the Solar System from the Sun,/m/09cws,https://en.wikipedia.org/wiki/Mars,♂︎|Planet Mars|Red Planet,Q111
lion,species of big cat,/m/096mb,https://en.wikipedia.org/wiki/Lion,Panthera leo|African lion|the lion|Asiatic lion,Q140
fiber,natural or synthetic substance that is significantly longer than it is wide,/m/011jng,https://en.wikipedia.org/wiki/Fiber,fibre|fibers|fibres,Q161
Yorkshire,historic county of England,/m/094vy,https://en.wikipedia.org/wiki/Yorkshire,"County of York|God's Own County|Yorkshire, England",Q163
sea,large body of saline water,/m/06npx,https://en.wikipedia.org/wiki/Sea,seas,Q165
São Paulo,state in the Southeast Region of Brazil,/m/01hd58,https://en.wikipedia.org/wiki/S%C3%A3o_Paulo_(state),SP|State of São Paulo|São Paulo state|São Paulo (state),Q175
pasta,"Italian food made from flour, eggs and water and shaped in different forms, usually cooked and served with a sauce",/m/05z55,https://en.wikipedia.org/wiki/Pasta,,Q178
war,organised and prolonged violent conflict between states,/m/082cb,https://en.wikipedia.org/wiki/War,military conflict|wars|hostilities,Q198
Walloon Region,region of Belgium,/m/0pfrr,https://en.wikipedia.org/wiki/Wallonia,Wallonia|BE-WAL,Q231
Brussels-Capital Region,region of Belgium,/m/02rhpm,https://en.wikipedia.org/wiki/Brussels,Brussels Region|Brussels-Capital|Region of Brussels-Capital|BE-BRU|Bruxelles-Capitale|BXL|20e|04000|BHG|Brussel|Brussels Gewest|Bruxelles|Brussel-Hoofdstad|Région bruxelloise|Région Bruxelloise,Q240
Eurovision Song Contest,annual song competition held among the member countries of the European Broadcasting Union,/m/02q3s,https://en.wikipedia.org/wiki/Eurovision_Song_Contest,ESC|Eurovision|Grand Prix Eurovision de la Chanson|Eurosong,Q276
wood,fibrous material from trees or other plants,/m/083vt,https://en.wikipedia.org/wiki/Wood,wooden,Q287
Icelandic,North Germanic language mainly spoken in Iceland,/m/01gmkg,https://en.wikipedia.org/wiki/Icelandic_language,Icelandic language|is|Íslenska|Iſlandic tongue,Q294
