Property,Title,Clarification Title,Neo4j
P17,country,country,country
P19,place of birth,place of birth,place_of_birth
P20,place of death,place of death,place_of_death
P21,sex or gender,sex or gender,sex_or_gender
P26,spouse,spouse,spouse
P27,country of citizenship,country of citizenship,country_of_citizenship
P30,continent,geographical continent,continent
P31,instance of,instance of,instance_of
P35,head of state,chief of state (individual),head_of_state
P36,capital,capital city,capital
P37,official language,official language,official_language
P38,currency,currency,currency
P39,position held,position held,position_held
P47,shares border with,shares border with,shares_border_with
P50,author,author,author
P54,member of sports team,member of sports team,member_of_sports_team
P57,director,media or game director,director
P58,screenwriter,screenwriter,screenwriter
P61,discoverer or inventor,discoverer or inventor,discoverer_or_inventor
P66,ancestral home,ancestral home,ancestral_home
P69,educated at,educated at,educated_at
P101,field of work,field of work,field_of_work
P102,member of political party,member of political party,member_of_political_party
P106,occupation,job occupation,occupation
P108,employer,employer,employer
P112,founded by,founded by,founded_by
P115,home venue,home venue,home_venue
P119,place of burial,place of burial,place_of_burial
P122,basic form of government,basic form of government,basic_form_of_government
P123,publisher,publisher,publisher
P127,owned by,owned by,owned_by
P131,located in the administrative territorial entity,located in the administrative territorial entity,located_in_the_administrative_territorial_entity
P136,genre,media genre,genre
P138,named after,named after,named_after
P140,religion or worldview,religion or worldview,religion_or_worldview
P144,based on,based on,based_on
P150,contains the administrative territorial entity,contains the administrative territorial entity,contains_the_administrative_territorial_entity
P155,follows,succeeds to,follows
P159,headquarters location,headquarters location,headquarters_location
P161,cast member,cast member,cast_member
P162,producer,media or game producer,producer
P166,award received,award received,award_received
P169,chief executive officer,chief executive officer,chief_executive_officer
P170,creator,media or game creator,creator
P171,parent taxon,parent taxon,parent_taxon
P172,ethnic group,ethnic group,ethnic_group
P175,performer,media performer,performer
P176,manufacturer,manufacturer,manufacturer
P194,legislative body,legislative body,legislative_body
P264,record label,record label,record_label
P272,production company,production company,production_company
P275,copyright license,copyright license,copyright_license
P276,location,physical location,location
P277,programmed in,programmed in,programmed_in
P279,subclass of,subclass of,subclass_of
P306,operating system,operating system,operating_system
P344,director of photography,director of photography,director_of_photography
P361,part of,part of,part_of
P364,original language of film or TV show,original language of film or TV show,original_language_of_film_or_TV_show
P366,has use,"has use, function or purpose",has_use
P400,platform,computing platform,platform
P407,language of work or name,language of work or name,language_of_work_or_name
P413,position played on team / speciality,position played on team / speciality,position_played_on_team_speciality
P421,located in time zone,located in time zone,located_in_time_zone
P425,occupational field,occupational field,occupational_field
P437,distribution format,distribution format,distribution_format
